TweetID,Source,Target
1332722772598943744,fuadhiImi,_Bakemono
1332722772598943744,fuadhiImi,cisskarahayu
1332722772598943744,fuadhiImi,Aprilianpratama
1332722772598943744,fuadhiImi,WatchmenID
1332698752520318976,womencoalition,KharisRosyidah
1332690888980525056,PandaiIndonesia,buildingpeace_
1332493111927336960,LenteraID,_dinaprl
1332493111927336960,LenteraID,Rastraa
1332493111927336960,LenteraID,itsohdelicate
1332449909904064512,elpanjullo,Bams_1eng
1332449909904064512,elpanjullo,Paulus_willy
1332449909904064512,elpanjullo,kokokdirgantoro
1332377664133316608,ComradeBim,Arief_2792
1332345337478955009,ComradeBim,petacilan
1332345337478955009,ComradeBim,banguntidur__
1332345337478955009,ComradeBim,NOTNOWBUTNAO
1332345337478955009,ComradeBim,momolciao
1332345337478955009,ComradeBim,poserwriter
1332341822203445249,RahayuSaraswati,smiggletooth
1332341822203445249,RahayuSaraswati,4rdn4n
1332341822203445249,RahayuSaraswati,xHarmaurax
1332341822203445249,RahayuSaraswati,wagesyahputra
1332341822203445249,RahayuSaraswati,RoniSet41920892
1332341822203445249,RahayuSaraswati,xcintakiehlx
1332341822203445249,RahayuSaraswati,DianaAurora96
1332341822203445249,RahayuSaraswati,elpanjullo
1332341822203445249,RahayuSaraswati,hkushardanto
1332341822203445249,RahayuSaraswati,HusinShihab
1332341822203445249,RahayuSaraswati,HerdianaKiehl
1332341822203445249,RahayuSaraswati,BGapho
1332323904673595393,ComradeBim,soloberlawan_
1332280172335165441,YayasanPulih,AWidyadari
1332280172335165441,YayasanPulih,meeyrea
1332280172335165441,YayasanPulih,zombieplekeset
1332280172335165441,YayasanPulih,SistersInDanger
1332280172335165441,YayasanPulih,mgwuvvie
1332280172335165441,YayasanPulih,Titaska9
1332280172335165441,YayasanPulih,penikmatsemua_
1332269711019503620,CakraWikara,TheOproject
1332269711019503620,CakraWikara,rymndgs
1332269711019503620,CakraWikara,Zararaaaaa
1332269711019503620,CakraWikara,DirgaArdiansa
1332269711019503620,CakraWikara,womencoalition
